Elem,Thickness (mm),SCF,curve_type
7463,20,1,DNV-CD
7472,25,1,DNV-CD
7473,25,1,DNV-CD
7474,25,1,DNV-CD
7475,25,1,DNV-CD
7476,25,1,DNV-CD
7477,20,1,DNV-CD
7478,25,1,DNV-CD
7479,20,1,DNV-CD
7488,25,1,DNV-CD
7489,25,1,DNV-CD
7490,25,1,DNV-CD
7491,25,1,DNV-CD
7492,25,1,DNV-CD
7493,20,1,DNV-CD
7494,25,1,DNV-CD
7495,20,1,DNV-CD
7504,25,1,DNV-CD
7505,25,1,DNV-CD
7506,25,1,DNV-CD
7507,25,1,DNV-CD
7508,25,1,DNV-CD
7509,20,1,DNV-CD
7510,25,1,DNV-CD
7511,20,1,DNV-CD
7520,25,1,DNV-CD
7521,25,1,DNV-CD
7522,25,1,DNV-CD
7523,25,1,DNV-CD
7524,25,1,DNV-CD
7525,20,1,DNV-CD
7526,25,1,DNV-CD
7527,20,1,DNV-CD
7536,25,1,DNV-CD
7537,25,1,DNV-CD
7538,25,1,DNV-CD
7539,25,1,DNV-CD
7540,25,1,DNV-CD
7541,20,1,DNV-CD
7542,25,1,DNV-CD
7543,20,1,DNV-CD
7552,25,1,DNV-CD
7553,25,1,DNV-CD
7554,25,1,DNV-CD
7555,25,1,DNV-CD
7556,25,1,DNV-CD
7557,20,1,DNV-CD
7558,25,1,DNV-CD
7559,20,1,DNV-CD
7568,25,1,DNV-CD
7569,25,1,DNV-CD
7570,25,1,DNV-CD
7571,25,1,DNV-CD
7572,25,1,DNV-CD
7573,20,1,DNV-CD
7574,25,1,DNV-CD
7575,20,1,DNV-CD
7584,25,1,DNV-CD
7585,25,1,DNV-CD
7586,25,1,DNV-CD
7587,25,1,DNV-CD
7588,25,1,DNV-CD
7589,20,1,DNV-CD
7590,25,1,DNV-CD
7591,20,1,DNV-CD
